dl,fl1,fl2,fl3,kl,layer,optimizer,train_acc,train_loss,val_acc,val_loss,trainable_params
128,16,32,16,5,2,Nadam,0.9032379047157376,0.22837008491339186,0.8887221806196607,0.26601550502459925,15090
128,16,32,16,5,3,Nadam,0.90142517815472,0.229380195305368,0.8839709928376164,0.283033170333264,15618
16,16,32,32,5,1,RMSprop,0.8952994124265533,0.2427813169087808,0.885221305400856,0.2902426570542129,8322
16,16,32,32,5,2,RMSprop,0.8980497561971729,0.23676694107232266,0.8884721181040318,0.2718738771492495,11170
16,16,32,32,5,3,RMSprop,0.894674334269432,0.2501531679996857,0.8779694924476177,0.2943146249992485,16322
16,16,32,32,5,1,Adam,0.9044880610150776,0.22566281772469085,0.8832208052758248,0.273428288526194,8322
16,16,32,32,5,2,Adam,0.901300162535218,0.2298608415256308,0.8857214304321138,0.2687355020726493,11170
16,16,32,32,5,3,Adam,0.9029253656707088,0.2314042903753963,0.8879719930727741,0.2658049037349793,16322
16,16,32,32,5,1,SGD,0.8631078884935123,0.31467172357794315,0.8554638660410161,0.32394903216340537,8322
16,16,32,32,5,2,SGD,0.860482560305137,0.31893012098616874,0.8552138035402921,0.3381843225498085,11170
